1-create and display a customer,06-05-2022 06:06 p.m.
2-create and display a card,06-05-2022 06:06 p.m.
3-create account,06-05-2022 06:06 p.m.
4-add new card to an account,06-05-2022 06:06 p.m.
5-add asset to an account,06-05-2022 06:07 p.m.
6-add transaction to an account,06-05-2022 06:07 p.m.
7-display user information,06-05-2022 06:07 p.m.
8-display current amount,06-05-2022 06:07 p.m.
9-display account information,06-05-2022 06:07 p.m.
10-display transaction,06-05-2022 06:07 p.m.
11-close account,06-05-2022 06:07 p.m.
12-exit,06-05-2022 06:07 p.m.
